index,recipe_title,recipe_description,recipe_image,recipe_image_alt_text,recipe_author,recipe_category,recipe_cuisine,recipe_note,recipe_tags,recipe_ingredients,recipe_directions
43,CilantroLimeChickenCrockPot,,,CilantroLimeChickenCrockPot,Ryan White,,,,,"1.5 lbs boneless, skinless chicken breasts,10 oz Ro*Tel® Mild Diced Tomatoes & Green Chilies,1 C corn kernels, frozen,0.5 C salsa,0.5 C chopped fresh cilantro leaves,1 ea red onion, diced,1 ea jalapeño, diced,2 tsp cumin,2 tsp chili powder,4 cloves &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In a gallon size Ziploc bag or large bowl, combine chicken, beans, tomatoes, corn, salsa, cilantro, onion, jalapeno, cumin, chili powder and garlic. Place in freezer for up to 1 month,Place chicken mixture into a 6-qt slow cooker; season with salt and pepper, to taste. Cover and cook on low heat for 7-8 hours or high heat for 3-4 hours. Stir in lime juice.,Serve immediately with dollop of sour crème on top and over spanish rice,,,,"
44,RibsMacCheeseCorn,,,RibsMacCheeseCorn,Ryan White,,,,,"1 Rack Pork Baby Back Ribs,1 to taste salt & pepper,0.5 C Brown Sugar,1 Bottle  BBQ Sauce,  ,2 box Mac and cheese,2 Tbsp  Butter,1 C Milk,  ,8 ears &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Rmove silver skin from back of ribs if necessary. Rub down with brown sugar salt and pepper. Cover with foil & place in oven, 275 deg, for 3 hrs,Open up foil and cook for another 30 min. Brush with BBQ sauce, cover back up for another 30 min. Rest 5 min before cutting into them.,In last 30 min of baking start water for mac and cheese.Cook accoring to directions,At same time Remove the husks and the silk from the corn and cut the kernels off as close to the husk as possible without removing any of the husk. You should have about 7 cups of kernels.,Melt the butter in a large, heavy saute pan. Add the corn, salt, and pepper and saute uncovered on medium-low heat for 8 to 10 minutes, stirring occasionally, until all the starchiness in the corn is gone. Taste, for salt and pepper, and serve.,,"
45,Brisket,,,Brisket,Ryan White,,,,,"1 ea Beef Brisket,  ,  ,  ,  ,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Trim if necessary,Season the entire piece of meat liberally. 

Texas style: coarse salt and black pepper

Rub# 1: 2 parts kosher salt, 2 parts pepper, 2 parts paprika, 1 part cayenne, 1 part oregano, 1 part garlic powder

8-3-1-1: 8 parts brown sugar, 3 parts kosher salt, 1 part chili powder, 1 part [black pepper, onion powder and garlic powder],For the initial smoke phase, I plan about 8 hours at 225  F for my 12-13 pound briskets to reach 165 F. However, your brisket will stall between 145  F and 165  F. Wrap it when you hit the stall and bring to full 165 internal temp,Rest brisket for ~1 hr for 12-13 lb, 30 min for smaller. ,,,"
46,BBQ Pulled Pork,,,BBQ Pulled Pork,Ryan White,,,,,"  3–4 pounds boneless pork shoulder, cut into 3–4 large pieces,  8–10 cloves garlic, sliced in half lengthwise,  12 ounces light beer of choice,  2 tablespoons soy sauce,  1 tablespoon apple cider vinegar,  1 tablespoon sesame oil,  1 teaspoon liquid smoke,  1/4 cup packed brown sugar,  1 ½ teaspoons chili powder,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Prep – Stud the pork with garlic & mix the BBQ dry rub: Using a sharp paring knife, carefully cut a few deep slits into each piece of pork shoulder, then insert sliced garlic into each pocket. Set aside. Add all listed BBQ dry rub ingredients to a small bowl or jar. Whisk or shake to combine. Set aside or store in an airtight container on your spice rack for up to 1 month.,Braise the BBQ pork: Season the pork with the BBQ dry rub & arrange the seasoned pork in a heavy-bottomed pot or Dutch oven with a lid, sprinkling any excess BBQ dry rub over top. Add in all liquid ingredients – beer, soy sauce, apple cider vinegar, sesame oil, & liquid smoke. Bring to a boil over high heat. Reduce heat to low to maintain a steady simmer. Cover & simmer for 3-4 hours, until the BBQ pork is fall-apart tender.,Finish the BBQ pulled pork: Carefully transfer the pork to a plate or cutting board. Use tongs or 2 forks to shred the pork into bite-sized pieces. Serve your BBQ pulled pork immediately or cool & store for later use (see Recipe Notes for Serving Ideas, & Storage & Freezing guidance). Enjoy!,,,,"
47,Vinegar Slaw,,,Vinegar Slaw,Ryan White,,,,,"1 head head of cabbage -finely shredded,1 ea bell pepper (finely chopped),1 ea sweet onion (finely chopped),2 ea carrots, grated,1 C sugar,1 tsp salt,0.666666666666667 C vegetable oil,1 tsp dry mustard,1 tsp celery seeds,0.25 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Gather the ingredients. Combine the shredded cabbage, chopped bell pepper, and onions and the grated or julienne carrots in a large serving bowl.,In a medium saucepan over medium heat, combine the sugar, salt, oil, dry mustard, celery seed, pepper, and vinegar and bring to a boil.,Simmer, frequently stirring, until the sugar is dissolved. ,Cool slightly, then pour over the vegetables and toss well.,Cover and refrigerate the coleslaw until thoroughly chilled.,,"
48,Baked Beans,,,Baked Beans,Ryan White,,,,,"1 C dried navy beans,4 C water,0.25 C ketchup,0.25 C maple syrup,2 Tbsp brown sugar,2 Tbsp molasses,1 tsp Worcestershire sauce,0.5 tsp Salt,0.125 tsp Black Pepper,0.125 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Place the navy beans into a large container and cover with several inches of cool water; let stand 8 hours to overnight. Or, bring the beans and water to a boil in a large pot over high heat. Once boiling, turn off the heat, cover, and let stand 1 hour. Drain and rinse before using,Place the beans in a large saucepan with 4 cups of water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer 1 hour.,Preheat an oven to 375 degrees F (190 degrees C). Stir the ketchup, maple syrup, brown sugar, molasses, Worcestershire sauce, salt, pepper, and chili powder together in a small bowl; set aside.,Once the beans have simmered for 1 hour, drain, and reserve the cooking liquid. Pour the beans into a 1 1/2 quart casserole dish and stir in the chopped onion and the molasses sauce. Stir in enough of the reserved cooking liquid so the sauce covers the beans by 1/4 inch.,Cover, and bake in the preheated oven for 10 minutes, then reduce the heat to 200 degrees F (95 degrees C), and cook 6 hours longer. Stir the beans after they have cooked for 3 hours. Once the beans are tender and the sauce has reduced and is sticky, remove from the oven, stir, recover, and allow to stand 15 minutes before serving.,,"
49,Potato Salad,,,Potato Salad,Ryan White,,,,,"1.5 lbs petite (or baby) red or white potatoes, cut into 4ths,2.5 tsp kosher salt,3 Tbsp apple cider vinegar,12 oz bacon, cooked and crumbled,4 ea hard-boiled eggs, peeled and coarsely chopped,0.5 ea red onion, peeled and finely diced,0.25 C finely diced celery,0.25 C finely chopped sweet pickles,0.75 C mayonnaise,1 Tbsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Add potatoes to a large saucepan.  Cover with cold water, about an inch above the tops of the potatoes.  Bring to a boil over MED-HIGH heat. While heating up start cooking the bacon.,Once boiling, add 1 1/2 tsp kosher salt and stir.  Boil, for 10-15 minutes, until potatoes are fork tender (not quite ""done as they continue cooking).  Scoop foam off the top as it forms. Adjust the heat so that the potatoes are still boiling, but not so hot that they're roaring.,Drain potatoes in a colander, then place into a large bowl (with enough room for remaining ingrediants and room to stir).  Add vinegar and stir to combine.  Let them cool slightly.,While potatoes are cooling, Chop eggs, bacon, red onion, celery and pickles. In separate bowl mix dressing ingrediants, mix to combine.,Combine everything plus remaining 1 tsp kosher salt to potatoes. Gently stir it all together, until well combined. ,Cover tightly and refrigerate until cold, at least 3-4 hours.,"
50,Collard Greens,,,Collard Greens,Ryan White,,,,,"  1/2 cup white distilled vinegar,  3 tablespoons salt,  2 bunches fresh collard greens, (see note),  1 tablespoon extra virgin olive oil,  ½ cup finely diced onions,  1 tablespoon minced garlic,  ½ teaspoon red pepper flakes,  4-5 cups chicken broth, (can replace 1 cup with water if desired),  1 fully-cooked smoked turkey leg or wing, (about 13 oz),  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cut stems from collards. Soak leaves for 15-20 minutes, giving them a scrub midway. Drain the water and refill with plain water and allow the greens to soak again if needed. Repeat as many times as needed until the water is free from any dirt or grit. After the final soak, drain the water. Tear greens into bit sized pieces. ,Saute onions until tender. Add garlic and red pepper flakes til fragrant. ,Pour in the broth and add the turkey leg. Bring to a boil.,Add collard greens and reduce heat to a simmer.
Cover and cook for 1 hour,Stir in vinegar and smoked salt, and black pepper if desired,Serve with hot sauce. ,"
51,Corn Bread,,,Corn Bread,Ryan White,,,,,"0.5 C whole-wheat flour,2 tsp baking powder,1 tsp baking soda,0.25 tsp salt,1.5 C yellow cornmeal,0.333333333333333 C dark brown sugar,1 ea egg,1 C sour cream,0.25 C diced canned green chilies,0.25 C &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Sift together into a bowl the whole wheat flour, baking powder, baking soda and salt. Stir in the cornmeal. Crumble in the brown sugar.  Mix these dry ingredients together, with a fork, until they are well blended.  Make a well in the center.,Beat together the egg and the sour cream or yogurt. Pour this mixture into the well in the center of the dry ingredients.  Mix with a wooden spoon. The batter should readily blend with a few swift strokes.  Add the green chilies and the cheese.  Mix until uniform.,Spread into a buttered 8” square pan.  Bake at 350 degrees for 30-35 minutes, or until the center springs back when touched.,,,,"
52,VegKebabs,,,VegKebabs,Ryan White,,,,,"8 ea bamboo skewers,2 ea zucchinis, cut into 1-inch slices,2 ea yellow squash, cut into 1-inch slices,0.5 lb whole fresh mushrooms,1 ea red onion, cut into chunks,12 ea cherry tomatoes,1 ea fresh pineapple, cut into chunks,1 ea red bell pepper, cut into chunks,0.333333333333333 C olive oil,1.5 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Soak skewers in water for 10 to 20 minutes.,Preheat grill for medium heat and lightly oil the grate. Alternately thread zucchini slices, yellow squash slices, mushrooms, onion, tomatoes, pineapple, and bell pepper onto the skewers.,Whisk olive oil, basil, oregano, salt, and black pepper in a bowl; brush mixture over vegetables.,Cook skewers on preheated grill until vegetables are tender, turning and basting vegetables with olive oil mixture occasionally, 10 to 15 minutes.,,,"
53,Fried Okra,,,Fried Okra,Ryan White,,,,,"6 C Frying Oil,0.5 C Cornmeal,1 C All Purpose Flour,1 tsp Salt,1 tsp Black Pepper,1 tsp Garlic powder,0.25 tsp Cayenne Pepper,2 lbs Fresh Okra,0.5 C Buttermilk,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Heat oil in a large, heavy-bottomed skillet or Dutch oven to 350 degrees F. ,In a medium bowl, combine cornmeal, flour, salt, black pepper, garlic powder, and cayenne pepper. ,Dip okra in buttermilk and then dredge in cornmeal-flour mixture to coat well. ,In batches, add okra to the hot oil and cook until golden brown. Remove from oil, drain on paper towels, and then serve immediately.,,,"
54,Smoked Grilled Vegetables,,,Smoked Grilled Vegetables,Ryan White,,,,,"  Corn on the cob,  Zucchini,  Green bell pepper,  Red bell pepper,  Whole Mushrooms,2 Tbsp Veg Oil,2 Tbsp Montreal Chicken Seasoning,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cut corn into 2-3"" chunks. Zucchini into 1"" medallions, mushrooms in half, and bell peppers into 2"" x 2"" pieces,Layer veggies onto skewers,Place in smoker for approx 30 min with meat (low heat, smoke rolling),Oven to 450 F,Remove veggies from smoker and place in oven for 10 min. ,,"
55,TuscanChicken,,,TuscanChicken,Ryan White,,,,,"4 oz rotini or bowtie pasta,2 Tbsp all purpose flour,0.25 tsp salt,0.25 tsp pepper,0.25 tsp red pepper flakes,1 C Chicken Stock,1 C Milk,0.333333333333333 C Sun dried tomatoes,8 oz sliced mushrooms,14 oz &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Heat oven to 400F. Spray a 9 x 9 inch baking pan with oil.,In the bottom of the baking pan, combine the pasta, flour, salt, pepper, red pepper flakes, chicken stock, milk and sun dried tomatoes. Stir until no flour clumps remain.,Scatter with mushrooms and chicken breast, season with additional salt & pepper. Cover with foil and bake for 30 minutes.,Stir in the kale and cheese, then cool completely. Cover tightly with foil, label with re-heating directions (below) and freeze up to 2 months.,Heat oven to 350°F. Place pasta bake (still frozen and covered with foil) in the oven and bake for 30 minutes.,Add 1/2 cup broth, cover back up and bake for another 15 minutes.Stir everything up, and if it is heated through, uncover and heat for a final 5 minutes.  If it's not heated through, continue heating (covered) until it is.,"
56,SausageManacotti,,,SausageManacotti,Ryan White,,,,,"1 lb bulk pork sausage,2 C Ricotta,1 pkg Manacotti Shells,1 jar Marinara,1 C Shred mozzarella,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In a large bowl, combine sausage and cottage cheese. Stuff into uncooked manicotti shells. Place in a greased 13x9-in. baking dish. Top with marinara sauce.,Cover and bake at 350° for 55-60 minutes or until a thermometer inserted into the center of a shell reads 160°.,Uncover; sprinkle with mozzarella cheese. Bake 8-10 minutes longer or until cheese is melted. Let stand for 5 minutes before serving. ,Freeze option: Transfer individual portions of cooled manicotti to freezer containers; freeze. To use, partially thaw in refrigerator overnight. Transfer to a microwave-safe dish and microwave on high, stirring occasionally and adding a little spaghetti sauce if necessary.,,,"
57,OrangeChicken,,,OrangeChicken,Ryan White,,,,,"4 ea Boneless Skinless Chicken Breasts,3 ea Eggs,0.333333333333333 C Cornstarch,0.333333333333333 C Flour,1 C Orange Juice,0.5 C Sugar,2 Tbsp Rice Vinegar,2 Tbsp Soy Sauce,0.25 tsp Ginger,0.25 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cube chicken breast. Whisk eggs in a bowl. Combine cornstarch and flour in another bowl. In 3rd container, Mix 1 Tablespoon of cornstarch with 2 Tablespoons of water.,Dip chicken pieces in egg mixture and then flour mixture. Place on plate.,Heat 2 -3 inches of oil in a heavy-bottomed pot over medium-high heat to 350 degrees. Working in batches, cook several chicken pieces at a time. Cook for 2 - 3 minutes, turning often until golden brown. Place chicken on a paper-towel-lined plate,Start rice. 1 C rice : 2 C water, cover, med heat,In a medium pot, add orange juice, sugar, vinegar, soy sauce, ginger, garlic, and red chili flakes. Heat for 3 minutes.,Add 3rd container (liquid cornstarch) to pot, whisk, cook 5 min to thicken. Kill heat. Add orange zest & chicken. Stir to combine,"
58,PorkBellyBurntEnds,,,PorkBellyBurntEnds,Ryan White,,,,,"5 lbs  pork belly, sliced into cubes,3 Tbsp EVOO,1 C dry rub,1 C BBQ Sauce,3 Tbsp Butter,2 Tbsp Honey,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Preheat smoker to 225 – 250 degrees using fruit wood (we used cherry for color and sweeter flavor),Make dry rub: ,Trim excess skin and fat off the pork belly and slice into 2 inch cubes and place into a large bowl. Add olive oil and dry rub liberally and then place cubes onto a wire rack or directly on the smoker.,Smoke uncovered for three hours. Look for a darker red color and a modest bark develop.,Remove the pork belly cubes from the smoker and place into a foil pan and then add your BBQ sauce, butter, and honey, and stir. Next cover the pan with aluminum foil and place back on the smoker.,Cook for an additional 90 minutes or until the internal temperature (IT) is roughly 200 – 203 degrees Fahrenheit.,Remove the foil, close the lid to the smoker, and smoke for another 15 minutes to let the sauce thicken up."
59,Pork Egg Rolls,,,Pork Egg Rolls,Ryan White,,,,,"2 tsp Vegetable Oil,1 lb ground pork,1 ea salt and pepper to taste,1 tsp minced garlic,1 tsp minced ginger,3 C coleslaw mix,0.25 C green onions,1 Tbsp soy sauce,1 tsp sesame oil,12 ea &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cook pork over med-high heat, breaking up with a spatula, until meat is browned and cooked through. Add the garlic and ginger then cook for 30 seconds.,Stir in the coleslaw mix and green onions. Cook until cabbage is wilted, about 3-4 minutes. ,Stir in the soy sauce and sesame oil, then remove from heat.,Spoon approximately 2-3 tablespoons of filling onto each egg roll wrapper and fold according to package directions, using the beaten egg to seal the edges of the wrappers as you go. ,Pour 2-3 inches of oil into a deep pot.,Heat the oil to 350 degrees. Fry 3-4 egg rolls at a time, turning occasionally, until browned all over, approximately 3-5 minutes.,Drain on paper towels, then serve with dipping sauce of your choice."
